cid,Smiles,classlabel
CHEMBL3334652,O=C(NCc1ccc(F)cc1)c1nc(-c2cccc(F)c2)[nH]c(=O)c1O,0
CHEMBL458494,O=C(O)c1cc(-c2cccc(OCc3ccccc3)c2)on1,0
CHEMBL1224123,O=C(NCCCN1CCN(C(=O)/C=C/c2ccccc2[N+](=O)[O-])CC1)c1cc(O)c(O)c(O)c1,0
CHEMBL83746,COc1cc(NC(=O)c2ccc3ccc(C(=O)O)c(O)c3n2)cc(O)c1O,0
CHEMBL593680,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)O)[C@@H](C)O,0
CHEMBL3186693,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],0
CHEMBL1682048,O=C(O)c1cc(Br)cc(C(=O)/C=C/c2ccccc2OCc2ccccc2)c1O,0
CHEMBL174172,O=C(NO)/C(CC(=O)c1ccc(O)cc1O)=N\O,0
CHEMBL175266,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,0
CHEMBL1256978,Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL433983,O=C(NNCc1ccccc1O)c1ccccc1O,0
CHEMBL3286442,O=c1nc(NCc2ccc(F)cc2)c2cccnc2n1O,0
CHEMBL479348,O=C(Nc1ccc(Cl)cc1)c1cc(S(=O)(=O)Nc2nc3ccccc3c(=O)[nH]2)c(SCc2ccccc2)cc1Cl,0
CHEMBL516025,O=C(O)/C(O)=C/C(=O)c1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,0
CHEMBL394786,CC(=O)N1CCN(C)C(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,1
CHEMBL442022,COc1cc(/C=C/C(=O)OCCc2ccccc2)ccc1O,0
CHEMBL1258720,Cn1c2ccccc2n2c(=O)c(O)c(C(=O)NCc3ccc(F)cc3)nc12,0
CHEMBL188686,COC(=O)C(=O)CC(=O)c1cc2ccccc2n1C,0
CHEMBL237503,C=C(NNC(=O)C1CC1c1ccccc1)c1cccc(NC(=O)C2CCCCC2C(=O)O)c1,0
CHEMBL1087929,O=C(NCc1cncs1)c1nc(-c2cccs2)nc(O)c1O,0
CHEMBL2094513,Oc1ccc(/C=N/N2CCN(c3ccccc3)CC2)cc1O,0
CHEMBL109167,Cc1cc2cc(O)c(O)cc2c(C)c1-c1ccccc1,0
CHEMBL593914,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0
CHEMBL174074,NNC(=O)c1ccccc1S,0
CHEMBL429082,O=C(C1=C(O)C(=O)N(c2nc3ccccc3s2)C1c1ccccn1)c1ccc(Cl)cc1,0
CHEMBL1682062,N#Cc1cc(Br)cc(C(=O)/C=C/c2c(Cl)ccc(Cl)c2Cl)c1O,0
CHEMBL552264,Cn1ccc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)n1,1
CHEMBL512918,O=C(C1=NS(=O)(=O)c2ccc(Cl)cc2S1)c1ccc(Cl)cc1,0
CHEMBL3397848,COc1c(C(=O)N2CCN(CCCNC(=O)c3cc(O)c(O)c(O)c3)CC2)nc(Cc2ccc(Cl)c(Cl)c2)n(C)c1=O,0
CHEMBL106044,Cc1ccc(-c2c(C)cc3cc(O)c(O)cc3c2C)cc1,0
CHEMBL1909981,O=C(C1=C(O)C(=O)N(c2ccccc2)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1,0
CHEMBL1682442,Cc1ccc2c(O)c(C(=O)O)ccc2n1,0
CHEMBL1682054,COc1cccc2c(/C=C/C(=O)c3cc(Br)cc(C(=O)O)c3O)cccc12,0
CHEMBL1271426,COc1ccc(/C=C2\C(=O)N(c3cccc(Br)c3)N=C2COC(C)=O)cc1OCc1ccc(F)cc1,0
CHEMBL176619,Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)c3cccc4c(N)c5ccccc5nc34)cc2)n1,0
CHEMBL2018722,COc1ccc(CCNC(=O)C/C(C)=N/NC(=O)c2cc3ccccc3cc2O)cc1OC,0
CHEMBL1914563,O=C(NCc1ccc(F)cc1)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)N2CCCCC2)c1=O,1
CHEMBL176023,O=C(c1ccccc1)N1CCC(N2C(=O)c3c(c(O)c4nccnc4c3O)C2=O)CC1,0
CHEMBL188190,COC(=O)C(=O)CC(=O)c1cn(C)c2cc3c(cc12)OCO3,0
CHEMBL28626,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0
CHEMBL4284247,CCc1ccc(Sc2cc(=O)n(O)c(=O)[nH]2)cc1,0
CHEMBL509561,CC1=C[C@@H]2CC[C@@H](O)[C@H](C)[C@@H]2[C@@H](C(=O)C2=C(O)C(O)NC2=O)[C@@H]1C[C@H]1O[C@@]2(CC[C@H](C)[C@@H](c3cc(O)cc(O)c3)O2)[C@@H](C)C[C@@H]1C,0
CHEMBL106446,Oc1cc2c(cc1O)C1Cc3cc(O)c(O)cc3C(C2)O1,0
CHEMBL203666,NCCCNc1ccc2c3c(nn2CCNCCO)-c2c(O)ccc(O)c2C(=O)c13,0
CHEMBL3582076,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O,0
CHEMBL443663,COc1cccc(CC(NC(=O)CCCC[C@]23CCC(C)(C)C[C@H]2C2=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]2(C)CC3)C(=O)O)c1OC,0
CHEMBL113197,CCCCCC=C(c1cc(Cl)c(O)c(C(=O)NO)c1)c1cc(Cl)c(O)c(C(=O)NO)c1,0
CHEMBL2407277,COc1ccc(NC(=O)C2C(=O)N(O)C(=O)c3ccccc32)cc1Cl,1
CHEMBL398846,O=C1c2c(ccc(O)c2O)CN1Cc1cccc(CBr)c1,0
CHEMBL3290945,O=c1nc(NCc2ccc(N3CCOCC3)cc2)c2cccnc2n1O,0
CHEMBL3238123,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCN(C(C)=O)CC3)ccc2c1=O,0
CHEMBL240329,COc1cccc(C(=O)NNC(=O)c2ccc3ccccc3c2O)c1,0
CHEMBL398210,O=C(NCc1ccc(-c2ccccc2)cc1)c1nc(-c2cccs2)nc(O)c1O,0
CHEMBL373761,O=C(NCC1CCCCC1)c1nc(-c2cccs2)nc(O)c1O,1
CHEMBL401579,O=C1C(O)=C(O)C(O)=C2CC(O)=CC=CC12,0
CHEMBL31607,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1CCCC[C@@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,0
CHEMBL501858,O=C(O)/C(O)=C/C(=O)c1cccc(NC(=O)c2ccc(O)cc2)c1,0
CHEMBL3238122,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCN(CC)CC3)ccc2c1=O,0
CHEMBL392358,COc1ccc(C(=O)C2=C(O)C(=O)N(CCc3ccccc3)C2c2ccc(Br)cc2)cc1OC,0
CHEMBL523468,COc1ccc(Cc2nnc(-c3ncc4cccnc4c3O)[nH]2)cc1OC,0
CHEMBL492335,O=C(O)/C(O)=C/C(=O)c1c[nH]c2cc(Cl)ccc2c1=O,0
CHEMBL1761471,CCc1c(C(=O)c2ccccc2)n(COCc2ccccc2)c(=O)n(O)c1=O,0
CHEMBL559306,CN1CCn2c(nc(C(=O)NCc3ccc(F)cc3)c(O)c2=O)C1(C)C,1
CHEMBL58923,CC(=O)Oc1ccc(/C=C/c2ccc3cccc(OC(C)=O)c3n2)cc1OC(C)=O,0
CHEMBL4126659,CN(C)S(=O)(=O)c1cc(F)ccc1CNC(=O)c1nc2n(c(=O)c1O)CCCC21CCCC1,1
CHEMBL573638,O=C(O)/C(O)=C/C(=O)c1ccc(Oc2ccccc2)cc1,0
CHEMBL569376,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1ccc(Cl)c(F)c1,0
CHEMBL1682065,O=C(/C=C/c1cc(Br)cc([N+](=O)[O-])c1O)c1c(Cl)ccc(Cl)c1Cl,0
CHEMBL563757,CC(=O)N1CCCCC1(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,1
CHEMBL406261,CC[C@H](C)[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@H](C)N)[C@H](C)CC)C(C)C)C(=O)N[C@H](C(=O)N[C@@H](C)C(N)=O)[C@@H](C)CC,0
CHEMBL394782,Cn1c(C2COCCN2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,1
CHEMBL209591,O=C(NCc1ccc(F)cc1)c1ccc2cccnc2c1O,1
CHEMBL456030,Cc1cc(Cl)cc2c1S(=O)(=O)NC(C(=O)c1ccc(Cl)c(Cl)c1)S2,0
CHEMBL2407280,O=C(NCc1ccccc1)C1C(=O)N(O)C(=O)c2ccccc21,1
CHEMBL2407284,O=C(NCc1ccc(O)cc1O)C1C(=O)N(O)C(=O)c2ccccc21,1
CHEMBL481279,O=C(NCc1ccc(F)cc1)C1=C(O)C(=O)N(Cc2ccccc2)C1,0
CHEMBL3334648,O=C(NCc1ccc(F)cc1)c1nc(Cc2ccc(F)cc2)[nH]c(=O)c1O,0
CHEMBL186055,CCn1cc(/C(O)=C/C(=O)C(=O)O)c2ccccc21,0
CHEMBL1773408,CC(C)(O)CCc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,1
CHEMBL383505,CCOC(=O)C(=O)/C=C(\O)c1ccc2ncc(/C(O)=C/C(=O)C(=O)OCC)c(O)c2c1,0
CHEMBL36640,COc1cc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc(O)c1O,0
CHEMBL3414857,O=C1Cc2cc(Cc3ccccc3)ccc2C(=O)N1O,0
CHEMBL379658,CCN1CCN(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c3ncccc23)C(=O)C1=O,1
CHEMBL2407282,COc1ccc(CNC(=O)C2C(=O)N(O)C(=O)c3ccccc32)cc1,0
CHEMBL569135,O=C1c2c(ccc(O)c2O)CN1Cc1ccc(F)c(F)c1F,0
CHEMBL193769,O=C(O)c1cc(NS(=O)(=O)c2ccc(NCc3ccccc3)c([N+](=O)[O-])c2)cc(C(=O)O)c1,0
CHEMBL495332,COC(=O)C(=O)NC(C)(C)c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1
CHEMBL37845,O=C(O)c1ccc2ccc(/C=C/c3cc(O)c(O)c(I)c3)nc2c1O,0
CHEMBL338144,Cc1ccc(Nc2nc(NS(=O)(=O)c3cc(C)c(Cl)cc3S)n(C)n2)cc1,0
CHEMBL321212,COc1cc(/C=C2/C(=O)N(C(=O)c3ccccc3O)N=C2C)cc(OC)c1OC,0
CHEMBL37431,COc1cc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc(OC)c1O,0
CHEMBL244700,CC(=O)N[C@H]1C[C@@H](c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)N(C)C1,1
CHEMBL3582078,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3n2)c2ccccc2c1=O,0
CHEMBL128729,COc1cc(/C=C/C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,0
CHEMBL1668670,O=C1c2ccccc2C(Cc2ccc(C(F)(F)F)cc2)C(=O)N1O,0
CHEMBL3310079,CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)NC(C)(C)C)c1=O,1
CHEMBL455820,O=C(O)c1cc(-c2cccc(OCc3ccccc3)c2)no1,0
CHEMBL1813495,O=C(Nc1ccc2[nH]ccc2c1)c1cccc(O)c1O,0
CHEMBL563270,CC1(C)NCCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,1
